Date,Price
2012-11-11,176
2012-11-12,170
2012-11-13,174
2012-11-18,168
2012-11-19,164
2012-11-20,174
2012-11-21,180
2012-11-26,176
2012-11-27,178
2012-11-28,178
2012-11-29,174
2012-12-02,180
2012-12-05,170
2012-12-06,180
2012-12-09,170
2012-12-10,172
2012-12-11,164
2012-12-12,174
2012-12-13,168
2012-12-17,178
2012-12-18,180
2012-12-23,170
2012-12-24,162
2012-12-25,170
2012-12-26,168
2012-12-27,168
2012-12-31,162
2013-01-02,166
2013-01-03,164
2013-01-06,162
2013-01-07,162
2013-01-09,162
2013-01-10,166
2013-01-13,164
2013-01-14,168
2013-01-16,166
2013-01-17,164
2013-01-20,166
2013-01-21,162
2013-01-22,158
2013-01-23,160
2013-01-27,164
2013-01-28,168
2013-01-29,168
2013-02-17,178
2013-02-18,178
2013-02-19,168
2013-02-20,170
2013-02-21,170
2013-02-28,172
2013-03-03,170
2013-03-04,174
2013-03-05,168
2013-03-10,172
2013-03-13,164
2013-03-14,172
2013-03-19,166
2013-03-20,158
2013-03-21,168
2013-03-24,170
2013-03-25,166
2013-03-31,160
2013-04-01,152
2013-04-02,160
2013-04-03,160
2013-04-07,156
2013-04-08,164
2013-04-09,162
2013-04-10,158
2013-04-11,166
2013-04-14,168
2013-04-15,162
2013-04-16,158
2013-04-17,160
2013-04-18,160
2013-04-21,158
2013-04-22,166
2013-04-23,162
2013-04-28,164
2013-04-29,166
2013-04-30,164
2013-05-01,166
2013-05-02,170
2013-05-05,170
2013-05-06,172
2013-05-07,176
2013-05-08,182
2013-05-09,188
2013-05-12,178
2013-05-13,174
2013-05-14,176
2013-05-15,182
2013-05-16,192
2013-05-19,192
2013-05-20,184
2013-05-21,186
2013-05-22,192
2013-05-23,182
2013-05-26,192
2013-05-27,190
2013-05-30,182
2013-06-03,186
2013-06-04,190
2013-06-05,190
2013-06-09,188
2013-06-12,190
2013-06-17,188
2013-06-18,188
2013-06-19,188
2013-06-20,184
2013-06-23,184
2013-06-24,188
2013-06-25,190
2013-06-26,188
2013-06-27,198
2013-06-30,188
2013-07-01,196
2013-07-02,196
2013-07-03,196
2013-07-04,190
2013-07-07,198
2013-07-08,194
2013-07-09,194
2013-07-10,198
2013-07-11,202
2013-07-14,212
2013-07-15,222
2013-07-16,216
2013-07-17,208
2013-07-18,206
2013-07-21,216
2013-07-22,216
2013-07-23,226
2013-07-24,222
2013-07-25,218
2013-07-28,220
2013-07-29,218
2013-07-30,222
2013-08-01,222
2013-08-04,212
2013-08-05,212
2013-08-07,222
2013-08-12,232
2013-08-13,232
2013-08-14,236
2013-08-19,236
2013-08-20,240
2013-08-21,240
2013-08-22,238
2013-08-25,238
2013-08-26,236
2013-08-27,232
2013-08-28,236
2013-08-29,240
2013-09-02,230
2013-09-04,222
2013-09-05,232
2013-09-09,222
2013-09-10,222
2013-09-11,230
2013-09-15,230
2013-09-16,232
2013-09-17,228
2013-09-18,228
2013-09-19,238
2013-09-22,240
2013-09-23,246
2013-09-24,242
2013-09-25,246
2013-09-26,236
2013-09-29,234
2013-09-30,232
2013-10-01,232
2013-10-02,240
2013-10-03,234
