Date,Price
2011-03-08,25.6
2011-03-09,26.3
2011-03-12,27.3
2011-03-13,28
2011-03-14,27.9
2011-03-15,26
2011-03-16,27
2011-03-20,27.7
2011-03-21,27.8
2011-03-22,27.6
2011-03-23,28
2011-03-26,29
2011-03-27,29.5
2011-03-28,29.5
2011-03-29,30.1
2011-03-30,29.9
2011-04-02,29.9
2011-04-03,30
2011-04-04,30
2011-04-05,28.9
2011-04-06,29.3
2011-04-09,29.6
2011-04-10,29.7
2011-04-11,30.1
2011-04-12,30.8
2011-04-13,31.4
2011-04-16,32.2
2011-04-17,31.1
2011-04-18,31.5
2011-04-19,31.9
2011-04-20,28.8
2011-04-23,28
2011-04-24,28.7
2011-04-25,29.2
2011-04-26,28.7
2011-04-27,28.9
2011-04-30,29.2
2011-05-01,29.2
2011-05-02,29.2
2011-05-03,29
2011-05-04,28.8
2011-05-07,28.2
2011-05-08,28.2
2011-05-09,28
2011-05-10,28.3
2011-05-11,31.1
2011-05-14,30.3
2011-05-15,29.5
2011-05-16,29.2
2011-05-17,29.3
2011-05-18,29.4
2011-05-21,29.9
2011-05-22,29.8
2011-05-23,29.8
2011-05-24,29.7
2011-05-25,29.6
2011-05-28,29.7
2011-05-29,29.9
2011-05-30,29.9
2011-05-31,29.8
2011-06-01,29.8
2011-06-04,29.5
2011-06-05,29.5
2011-06-06,29.3
2011-06-07,29.2
2011-06-08,28.7
2011-06-11,28.5
2011-06-12,29
2011-06-13,29
2011-06-14,29
2011-06-15,28.9
2011-06-18,29
2011-06-19,28.5
2011-06-20,27.7
2011-06-21,28.6
2011-06-22,28.3
2011-06-25,28.8
2011-06-26,28.8
2011-06-27,29.2
2011-06-28,29.1
2011-06-29,29
2011-07-02,29
2011-07-03,29.1
2011-07-04,29
2011-07-05,28.8
2011-07-06,29
2011-07-09,28.9
2011-07-10,29.1
2011-07-11,29
2011-07-12,28.7
2011-07-13,28.9
2011-07-16,29.1
2011-07-17,29
2011-07-18,29.7
2011-07-19,29
2011-07-20,28.5
2011-07-23,28.5
2011-07-24,28.6
2011-07-25,28.1
2011-07-26,27.9
2011-07-27,27.3
2011-07-30,26.8
2011-07-31,27.6
