Date,Price
2011-02-28,9.131
2011-03-01,9.061
2011-03-02,8.922
2011-03-03,8.643
2011-03-07,8.608
2011-03-08,8.747
2011-03-09,8.688
2011-03-10,8.866
2011-03-13,9.131
2011-03-14,9.131
2011-03-15,9.27
2011-03-20,9.355
2011-03-21,9.368
2011-03-22,9.288
2011-03-23,9.242
2011-03-24,9.242
2011-03-27,9.267
2011-03-28,9.163
2011-03-29,8.991
2011-03-30,8.933
2011-03-31,9.054
2011-04-03,9.41
2011-04-04,9.393
2011-04-05,9.472
2011-04-06,9.824
2011-04-07,10.12
2011-04-10,10.79
2011-04-11,10.915
2011-04-12,10.811
2011-04-13,10.873
2011-04-14,10.852
2011-04-17,10.79
2011-04-18,10.581
2011-04-19,10.526
2011-04-20,10.53
2011-04-21,10.53
2011-04-24,10.33
2011-04-25,10.664
2011-04-26,10.706
2011-04-27,10.869
2011-04-28,10.831
2011-05-01,10.539
2011-05-02,10.581
2011-05-03,10.564
2011-05-04,10.539
2011-05-05,10.535
2011-05-08,10.463
2011-05-09,10.539
2011-05-10,10.585
2011-05-11,10.601
2011-05-12,10.555
2011-05-15,10.597
2011-05-16,10.543
2011-05-17,10.581
2011-05-18,10.572
2011-05-19,10.539
2011-05-22,10.53
2011-05-23,10.489
2011-05-24,10.413
2011-05-25,10.392
2011-05-26,10.484
2011-05-29,10.476
2011-05-30,10.497
2011-05-31,10.639
2011-06-01,10.476
2011-06-02,10.589
2011-06-05,10.468
2011-06-06,10.509
2011-06-07,10.622
2011-06-08,10.585
2011-06-09,10.652
2011-06-12,10.668
2011-06-13,10.631
2011-06-14,10.685
2011-06-15,10.668
2011-06-16,10.727
2011-06-19,10.664
2011-06-20,10.664
2011-06-21,10.593
2011-06-22,10.677
2011-06-23,10.702
2011-06-26,10.66
2011-06-27,10.643
2011-06-28,10.627
2011-06-29,10.606
2011-06-30,10.643
2011-07-03,10.643
2011-07-04,10.677
2011-07-05,10.664
2011-07-06,10.689
2011-07-07,10.685
2011-07-10,10.706
2011-07-11,10.664
2011-07-12,10.622
2011-07-13,10.664
2011-07-14,10.664
2011-07-17,10.643
2011-07-18,10.589
2011-07-19,10.522
2011-07-20,10.497
2011-07-21,10.48
2011-07-24,10.472
2011-07-25,10.459
2011-07-26,10.455
2011-07-27,10.518
2011-07-28,10.526
2011-07-31,10.539
2011-08-01,10.455
2011-08-02,10.463
2011-08-03,10.497
2011-08-04,10.493
2011-08-07,10.288
2011-08-08,10.455
2011-08-09,10.162
2011-08-10,10.279
2011-08-11,10.246
2011-08-14,10.351
2011-08-15,10.455
2011-08-16,10.447
2011-08-17,10.413
2011-08-18,10.392
2011-08-21,10.325
2011-08-22,10.33
2011-08-23,10.33
2011-08-24,10.254
2011-08-25,10.246
2011-08-28,10.288
2011-08-29,10.313
2011-09-04,10.317
2011-09-05,10.325
2011-09-06,10.229
