Date,Price
9/29/2013,0.72
9/30/2013,0.72
10/1/2013,0.74
10/2/2013,0.74
10/3/2013,0.74
10/6/2013,0.73
10/7/2013,0.7
10/8/2013,0.7
10/9/2013,0.71
10/10/2013,0.73
10/20/2013,0.74
10/21/2013,0.73
10/22/2013,0.73
10/23/2013,0.73
10/24/2013,0.72
10/27/2013,0.73
10/28/2013,0.72
10/29/2013,0.71
10/30/2013,0.72
11/4/2013,0.71
11/5/2013,0.7
11/6/2013,0.7
11/7/2013,0.72
11/10/2013,0.71
11/11/2013,0.67
11/12/2013,0.67
11/13/2013,0.67
11/14/2013,0.67
11/17/2013,0.66
11/18/2013,0.69
11/19/2013,0.69
11/20/2013,0.67
11/21/2013,0.68
11/24/2013,0.69
11/25/2013,0.68
11/26/2013,0.67
11/27/2013,0.68
11/28/2013,0.68
12/2/2013,0.69
12/3/2013,0.7
12/4/2013,0.72
12/5/2013,0.74
12/8/2013,0.75
12/9/2013,0.75
12/10/2013,0.74
12/11/2013,0.73
12/12/2013,0.72
12/15/2013,0.73
12/16/2013,0.72
12/17/2013,0.72
12/18/2013,0.73
12/19/2013,0.83
12/22/2013,0.84
12/23/2013,0.87
12/24/2013,0.91
12/25/2013,0.97
12/26/2013,0.95
12/29/2013,0.96
12/30/2013,0.99
12/31/2013,0.98
1/2/2014,0.96
1/5/2014,0.98
1/6/2014,0.97
1/7/2014,0.95
1/8/2014,0.99
1/9/2014,1.06
1/13/2014,1.19
1/14/2014,1.21
1/15/2014,1.18
1/16/2014,1.17
1/19/2014,1.18
1/20/2014,1.25
1/21/2014,1.24
1/22/2014,1.22
1/23/2014,1.25
1/26/2014,1.2
1/27/2014,1.15
1/28/2014,1.18
1/29/2014,1.18
1/30/2014,1.16
2/2/2014,1.16
2/3/2014,1.14
2/4/2014,1.16
2/5/2014,1.23
2/6/2014,1.25
2/9/2014,1.22
2/10/2014,1.2
2/11/2014,1.2
2/12/2014,1.16
2/13/2014,1.18
2/16/2014,1.19
2/17/2014,1.19
2/18/2014,1.18
2/19/2014,1.15
2/20/2014,1.15
2/23/2014,1.12
2/24/2014,1.12
2/25/2014,1.16
2/26/2014,1.19
2/27/2014,1.22
3/2/2014,1.2
3/3/2014,1.19
3/4/2014,1.18
3/5/2014,1.15
3/6/2014,1.17
3/9/2014,1.16
3/10/2014,1.15
3/11/2014,1.14
3/12/2014,1.11
3/13/2014,1.13
3/16/2014,1.14
3/17/2014,1.15
3/18/2014,1.16
3/19/2014,1.14
3/20/2014,1.09
3/23/2014,1.08
3/24/2014,1.09
3/25/2014,1.09
3/26/2014,1.11
3/27/2014,1.09
3/30/2014,1.1
3/31/2014,1.11
4/1/2014,1.13
4/2/2014,1.12
4/3/2014,1.17
4/6/2014,1.34
4/7/2014,1.29
4/8/2014,1.28
4/9/2014,1.37
4/10/2014,1.44
4/13/2014,1.45
4/14/2014,1.47
4/15/2014,1.44
4/16/2014,1.44
4/17/2014,1.44
4/20/2014,1.41
4/21/2014,1.4
4/22/2014,1.36
4/23/2014,1.31
4/24/2014,1.27
4/27/2014,1.32
4/28/2014,1.29
4/29/2014,1.3
4/30/2014,1.25
5/1/2014,1.26
5/4/2014,1.29
5/5/2014,1.29
5/6/2014,1.27
5/7/2014,1.24
5/8/2014,1.26
5/11/2014,1.21
5/12/2014,1.21
5/13/2014,1.18
5/14/2014,1.17
5/15/2014,1.16
5/18/2014,1.13
5/19/2014,1.08
5/20/2014,1.06
5/21/2014,1.12
5/22/2014,1.11
5/26/2014,1.11
5/27/2014,1.13
5/28/2014,1.1
5/29/2014,1.13
6/1/2014,1.19
6/2/2014,1.2
6/3/2014,1.19
6/4/2014,1.16
6/5/2014,1.17
6/8/2014,1.14
6/9/2014,1.07
6/10/2014,1.07
6/11/2014,1.06
6/12/2014,1.11
6/15/2014,1.06
6/16/2014,1.03
6/17/2014,1.06
6/18/2014,1.06
6/19/2014,1.06
6/22/2014,1.05
6/23/2014,0.99
6/24/2014,0.9
6/25/2014,0.97
6/26/2014,0.93
6/29/2014,0.89
6/30/2014,0.83
7/1/2014,0.84
7/2/2014,0.96
7/3/2014,1.01
7/6/2014,1.06
7/7/2014,1.03
7/8/2014,1.03
7/9/2014,1.01
7/10/2014,1.01
7/13/2014,1.03
7/14/2014,1.08
7/15/2014,1.1
7/16/2014,1.12
7/17/2014,1.11
7/20/2014,1
7/21/2014,1.05
7/22/2014,1.04
7/23/2014,1.02
7/24/2014,1
7/27/2014,1.01
7/31/2014,1.01
8/3/2014,1.02
8/4/2014,1.01
8/5/2014,1.02
8/6/2014,1
8/7/2014,1
8/10/2014,0.99
8/11/2014,1.01
8/12/2014,1.01
8/13/2014,1
8/14/2014,1.01
8/17/2014,1
8/18/2014,1
8/19/2014,1.02
8/20/2014,1.02
8/21/2014,1.03
8/24/2014,1.04
8/25/2014,1.04
8/26/2014,1.04
8/27/2014,1.07
8/28/2014,1.05
8/31/2014,1.06
9/1/2014,1.07
9/2/2014,1.06
9/3/2014,1.06
9/4/2014,1.04
9/7/2014,1.02
9/8/2014,1.02
9/9/2014,1.02
9/10/2014,0.99
9/11/2014,1.01
9/14/2014,1.01
9/15/2014,1.01
9/16/2014,0.99
9/17/2014,1.01
9/18/2014,1.03
9/21/2014,1.04
9/22/2014,1.03
9/23/2014,1.02
9/24/2014,1
9/25/2014,1.02
9/28/2014,0.99
9/29/2014,1.01
9/30/2014,1
10/1/2014,1
10/2/2014,0.99
10/7/2014,0.99
10/8/2014,0.97
10/9/2014,0.99
10/12/2014,0.92
10/13/2014,0.94
10/14/2014,0.9
10/15/2014,0.86
10/16/2014,0.8
10/19/2014,0.87
10/20/2014,0.83
10/21/2014,0.83
10/22/2014,0.84
10/23/2014,0.85
10/26/2014,0.88
10/27/2014,0.85
10/28/2014,0.85
10/29/2014,0.83
10/30/2014,0.83
11/2/2014,0.82
11/3/2014,0.81
11/4/2014,0.8
11/5/2014,0.77
11/6/2014,0.78
11/9/2014,0.8
11/10/2014,0.81
11/11/2014,0.85
11/12/2014,0.83
11/13/2014,0.84
11/16/2014,0.88
11/17/2014,0.84
11/18/2014,0.87
11/19/2014,0.88
11/20/2014,0.93
11/23/2014,0.94
11/24/2014,0.87
11/25/2014,0.85
11/26/2014,0.82
11/27/2014,0.84
11/30/2014,0.78
12/1/2014,0.79
12/4/2014,0.84
12/7/2014,0.83
12/8/2014,0.81
12/9/2014,0.79
12/10/2014,0.79
12/11/2014,0.74
12/14/2014,0.67
12/15/2014,0.66
12/16/2014,0.6
12/17/2014,0.58
12/18/2014,0.66
12/21/2014,0.74
12/22/2014,0.76
12/23/2014,0.73
12/24/2014,0.81
12/25/2014,0.8
12/28/2014,0.82
12/29/2014,0.79
12/30/2014,0.72
12/31/2014,0.74
1/4/2015,0.72
1/5/2015,0.71
1/6/2015,0.67
1/7/2015,0.72
1/8/2015,0.72
1/11/2015,0.73
1/12/2015,0.73
1/13/2015,0.73
1/14/2015,0.74
1/15/2015,0.77
1/18/2015,0.78
1/19/2015,0.76
1/20/2015,0.76
1/21/2015,0.75
1/22/2015,0.76
1/25/2015,0.76
1/26/2015,0.74
1/27/2015,0.75
1/28/2015,0.75
1/29/2015,0.72
2/1/2015,0.76
2/2/2015,0.75
2/3/2015,0.8
2/4/2015,0.78
2/8/2015,0.8
2/9/2015,0.79
2/10/2015,0.78
2/11/2015,0.77
2/12/2015,0.78
2/15/2015,0.79
2/16/2015,0.77
2/17/2015,0.77
2/18/2015,0.77
2/19/2015,0.78
2/22/2015,0.76
2/23/2015,0.77
2/24/2015,0.75
2/25/2015,0.77
2/26/2015,0.77
3/1/2015,0.77
3/2/2015,0.74
3/3/2015,0.73
3/4/2015,0.74
3/5/2015,0.74
3/8/2015,0.74
3/9/2015,0.75
3/10/2015,0.77
3/11/2015,0.76
3/15/2015,0.73
3/16/2015,0.72
3/17/2015,0.74
3/18/2015,0.72
3/22/2015,0.73
3/23/2015,0.73
3/24/2015,0.72
3/25/2015,0.7
3/26/2015,0.65
3/29/2015,0.64
3/30/2015,0.63
3/31/2015,0.64
4/1/2015,0.63
4/2/2015,0.65
4/5/2015,0.67
4/6/2015,0.68
4/7/2015,0.72
4/8/2015,0.69
4/9/2015,0.69
4/12/2015,0.7
4/13/2015,0.71
4/14/2015,0.72
4/15/2015,0.74
4/16/2015,0.75
4/19/2015,0.73
4/20/2015,0.73
4/21/2015,0.73
4/22/2015,0.73
4/23/2015,0.72
4/26/2015,0.76
4/27/2015,0.75
4/28/2015,0.75
4/29/2015,0.77
4/30/2015,0.75
5/3/2015,0.71
5/4/2015,0.7
5/5/2015,0.7
5/6/2015,0.7
5/7/2015,0.68
5/10/2015,0.69
5/11/2015,0.68
5/12/2015,0.68
5/13/2015,0.68
5/14/2015,0.68
5/17/2015,0.69
5/18/2015,0.69
5/19/2015,0.69
5/20/2015,0.69
5/21/2015,0.68
5/24/2015,0.67
5/25/2015,0.67
5/26/2015,0.66
5/27/2015,0.65
5/28/2015,0.62
5/31/2015,0.63
6/1/2015,0.65
6/2/2015,0.66
6/3/2015,0.66
6/4/2015,0.69
6/7/2015,0.66
6/8/2015,0.68
6/9/2015,0.68
6/10/2015,0.68
6/11/2015,0.64
6/14/2015,0.66
6/15/2015,0.66
6/16/2015,0.65
6/17/2015,0.65
6/18/2015,0.66
6/21/2015,0.65
6/22/2015,0.65
6/23/2015,0.66
6/24/2015,0.66
6/25/2015,0.66
6/28/2015,0.65
6/29/2015,0.65
6/30/2015,0.65
7/1/2015,0.65
7/2/2015,0.64
7/5/2015,0.67
7/6/2015,0.67
7/7/2015,0.65
7/8/2015,0.63
7/9/2015,0.65
7/12/2015,0.66
7/13/2015,0.66
7/15/2015,0.65
7/20/2015,0.66
7/21/2015,0.65
7/22/2015,0.65
7/23/2015,0.65
7/26/2015,0.65
7/27/2015,0.64
7/28/2015,0.64
7/29/2015,0.64
7/30/2015,0.66
8/2/2015,0.64
8/3/2015,0.66
8/4/2015,0.65
8/5/2015,0.65
8/6/2015,0.65
8/9/2015,0.64
8/10/2015,0.64
8/11/2015,0.64
8/12/2015,0.63
8/13/2015,0.64
8/16/2015,0.63
8/17/2015,0.62
8/18/2015,0.61
8/19/2015,0.61
8/20/2015,0.58
8/23/2015,0.53
8/24/2015,0.51
8/25/2015,0.57
8/26/2015,0.56
8/27/2015,0.57
8/30/2015,0.57
8/31/2015,0.56
9/1/2015,0.55
9/2/2015,0.54
9/3/2015,0.55
9/6/2015,0.55
9/7/2015,0.55
9/8/2015,0.56
9/9/2015,0.56
9/10/2015,0.56
9/13/2015,0.54
9/14/2015,0.54
9/15/2015,0.54
9/16/2015,0.56
9/17/2015,0.56
9/20/2015,0.59
9/21/2015,0.62
9/22/2015,0.63
9/27/2015,0.64
9/28/2015,0.62
9/29/2015,0.62
9/30/2015,0.61
10/1/2015,0.63
10/4/2015,0.62
10/5/2015,0.62
10/6/2015,0.61
10/7/2015,0.61
10/8/2015,0.62
10/11/2015,0.61
10/12/2015,0.61
10/13/2015,0.62
10/14/2015,0.61
10/18/2015,0.61
10/19/2015,0.6
10/20/2015,0.61
10/21/2015,0.6
10/22/2015,0.59
10/25/2015,0.59
10/26/2015,0.59
10/27/2015,0.57
10/28/2015,0.57
10/29/2015,0.58
11/1/2015,0.55
11/2/2015,0.56
11/3/2015,0.57
11/4/2015,0.54
11/5/2015,0.55
11/8/2015,0.52
11/9/2015,0.53
11/10/2015,0.51
11/11/2015,0.5
11/12/2015,0.5
11/15/2015,0.46
11/16/2015,0.48
11/17/2015,0.49
11/18/2015,0.48
11/19/2015,0.49
11/22/2015,0.51
11/23/2015,0.5
11/24/2015,0.49
11/25/2015,0.49
11/26/2015,0.49
11/29/2015,0.5
11/30/2015,0.49
12/6/2015,0.49
12/7/2015,0.49
12/8/2015,0.47
12/9/2015,0.46
12/10/2015,0.47
12/13/2015,0.46
12/14/2015,0.48
12/15/2015,0.46
12/16/2015,0.47
12/17/2015,0.49
12/20/2015,0.5
12/21/2015,0.55
12/22/2015,0.54
12/23/2015,0.53
12/27/2015,0.53
12/28/2015,0.53
12/29/2015,0.54
12/30/2015,0.54
12/31/2015,0.55
1/3/2016,0.55
1/4/2016,0.55
1/5/2016,0.54
1/6/2016,0.55
1/7/2016,0.52
1/10/2016,0.54
1/11/2016,0.52
1/12/2016,0.51
1/13/2016,0.51
1/14/2016,0.49
1/17/2016,0.45
1/18/2016,0.44
1/19/2016,0.46
1/20/2016,0.43
1/21/2016,0.44
1/24/2016,0.46
1/25/2016,0.45
1/26/2016,0.44
1/27/2016,0.44
1/28/2016,0.47
1/31/2016,0.48
2/1/2016,0.48
2/2/2016,0.48
2/3/2016,0.48
2/4/2016,0.49
2/7/2016,0.48
2/8/2016,0.49
2/9/2016,0.49
2/10/2016,0.56
2/11/2016,0.54
2/14/2016,0.57
2/15/2016,0.56
2/16/2016,0.56
2/17/2016,0.56
2/18/2016,0.57
2/21/2016,0.59
2/22/2016,0.62
2/23/2016,0.62
2/24/2016,0.64
2/25/2016,0.62
2/28/2016,0.63
2/29/2016,0.61
3/1/2016,0.62
3/2/2016,0.61
3/3/2016,0.61
3/6/2016,0.63
3/7/2016,0.64
3/8/2016,0.65
3/9/2016,0.63
3/10/2016,0.65
3/13/2016,0.65
3/14/2016,0.64
3/15/2016,0.63
3/16/2016,0.64
3/17/2016,0.65
3/20/2016,0.65
3/21/2016,0.64
3/22/2016,0.63
3/23/2016,0.63
3/24/2016,0.62
3/27/2016,0.63
3/28/2016,0.57
3/29/2016,0.56
3/30/2016,0.57
3/31/2016,0.57
4/3/2016,0.56
4/4/2016,0.57
